# GTOC4 list of asteroids' Keplerian orbital parameters in the J2000 heliocentric ecliptic frame
# Name         Epoch (MJD)    a (AU)                   e                        i (deg)                  LAN (deg)                arg. periap. (deg)       mean anomaly (deg)
'1580'         54800.000000   2.1968033753931699e+00   4.8768310678199733e-01   5.2090793903855442e+01   6.2324795115974354e+01   1.5953983855505257e+02   3.5216868177911254e+00
'1620'         54800.000000   1.2455508559317801e+00   3.3551067831815123e-01   1.3337693408042341e+01   3.3726601678187637e+02   2.7680653879588198e+02   1.3695003096845952e+02
'1943'         54800.000000   1.4303171851601999e+00   2.5581585972363569e-01   8.7040645155273069e+00   2.4640191521897870e+02   3.3825387531842182e+02   2.8840523759794735e+02
'2061'         54800.000000   2.2649534222223799e+00   5.3711909246647216e-01   3.7708224889682191e+00   2.0765410808599637e+02   1.5643202844863671e+02   4.6995496899634702e+01
'2135'         54800.000000   1.5995718025166901e+00   5.0326784062371244e-01   2.3054312241169708e+01   1.9126284882147959e+02   2.9083889167810037e+02   2.5672498109001799e+02
'2201'         54800.000000   2.1722218471541099e+00   7.1280397042102894e-01   2.5167652303073016e+00   7.6619361989379954e+01   9.6225759661217907e+01   3.5311606269816838e+02
'2329'         54800.000000   2.4045551684893600e+00   6.5749571211660318e-01   2.4429959515000157e+01   1.6943938082316399e+02   1.4583197707727996e+02   2.3582555638311072e+02
'2340'         54800.000000   8.4421076388332195e-01   4.4975834146342486e-01   5.8547882390182853e+00   2.1150460158030430e+02   3.9994195753797953e+01   2.4044827444641544e+02
'2368'         54800.000000   2.1048710822054399e+00   4.1383706562272921e-01   5.2370686156661410e+00   2.8759298274826864e+02   4.2605366758147966e+01   8.7284485816481677e+01
'3199'         54800.000000   1.5744848103053199e+00   2.8380332374765488e-01   3.2969571522166262e+01   3.4004397481758696e+02   5.3374896588537112e+01   6.5458709124581389e+01
'3352'         54800.000000   1.8786511586245600e+00   3.6960961388692254e-01   4.7740661843523293e+00   1.0742152454853310e+02   1.5912448718490317e+01   2.8840030583161001e+02
'3361'         54800.000000   1.2094333933818600e+00   3.2287405245620504e-01   2.6848936691688330e+00   1.8960182194380826e+02   3.0164520913499410e+02   4.9383663721713724e+01
'3551'         54800.000000   2.0932505992740400e+00   4.8665579980594792e-01   9.5037395829459754e+00   1.7387291946770446e+02   1.9317580244141246e+02   1.1489074220909129e+02
'3671'         54800.000000   2.1984219314222302e+00   5.4192506057598655e-01   1.3546296178297165e+01   8.2198599956734242e+01   2.0422486533136276e+02   1.7786259453698833e+02
'3752'         54800.000000   1.4136095554860399e+00   3.0193479168048548e-01   5.5555334280288371e+01   1.4799320265728753e+02   3.1220979015626159e+02   2.0708647896236076e+02
'3838'         54800.000000   1.5047351410827701e+00   7.0215215536957365e-01   2.9241914956460697e+01   2.3562475830637294e+02   4.9575995034199551e+01   9.2956776937580692e+00
'4015'         54800.000000   2.6373583964677598e+00   6.2422687567612145e-01   2.7856349419140090e+00   2.7055512787294219e+02   9.1259724073746028e+01   2.8496558945844981e+02
'4179'         54800.000000   2.5318910044378100e+00   6.2875678712741079e-01   4.4605562842573232e-01   1.2429146470631541e+02   2.7875046076202904e+02   5.8567102222983412e+00
'4183'         54800.000000   1.9814014378695599e+00   6.3605604033150820e-01   6.7509768523897149e+00   2.9563877918013475e+02   2.3542358649137620e+02   2.8898651615095179e+02
'4197'         54800.000000   2.3018503956472700e+00   7.7243627011415894e-01   1.2274169231954861e+01   9.0943934883503683e+00   1.2035676651717669e+02   1.5514510228482601e+02
'4401'         54800.000000   2.5794752491169399e+00   5.6569743260789995e-01   2.6643961288289066e+01   2.3146400054557283e+01   6.8000725410132645e+01   1.9474614341669280e+02
'4581'         54800.000000   1.0223406422420900e+00   3.5699087886637398e-01   4.9126729614680125e+00   1.8037969725583406e+02   2.5521243816244052e+02   8.2968100438342830e+01
'4769'         54800.000000   1.0631066753001299e+00   4.8327650537838251e-01   8.8883515580586838e+00   3.2564139404193401e+02   1.2132837726161944e+02   1.4982636846346878e+02
'4953'         54800.000000   1.6209661771851300e+00   6.5718469407188540e-01   2.4408801108849424e+01   7.7925738945161925e+01   7.7549902519572413e+01   3.5683161654813972e+01
'4954'         54800.000000   2.0012416027959099e+00   4.4862764343383521e-01   1.7449360753454620e+01   3.5856078397431526e+02   5.2420774656915796e+01   1.2914053368875088e+02
'5324'         54800.000000   2.9618048624844899e+00   6.1474996836017581e-01   1.9495592095799896e+01   3.5308544833855825e+02   3.2014335086168404e+02   6.9508959508756888e+01
'5381'         54800.000000   9.4747226480683999e-01   2.9615152876178674e-01   4.8969725070283545e+01   5.8559491589371405e+01   3.7426914886654536e+01   1.2056880321209287e+02
'5496'         54800.000000   2.4337675780717500e+00   6.3713012166469873e-01   6.8022548935769962e+01   1.0106315102969702e+02   1.1813514999636337e+02   1.3048648909656490e+02
'5836'         54800.000000   2.4440428153395302e+00   5.3307381016286526e-01   7.9822796788306363e+00   2.3974038860418281e+02   7.6701887880975775e+01   2.7353417303096101e+00
'5879'         54800.000000   1.6245376872650299e+00   2.8935722461856889e-01   2.1574517793087590e+01   1.4590200141382863e+02   3.5555202512470919e+02   4.2755941998283390e+01
'6047'         54800.000000   1.4543342878332901e+00   3.5213623391797039e-01   2.3470599996577036e+01   6.1577453520096483e+00   1.0372413726377304e+02   2.2326512702571375e+02
'6050'         54800.000000   2.2035642875337702e+00   4.3567143865966212e-01   6.4018496551581530e+00   8.8431654613964838e+01   2.8463610278349552e+02   8.4774482503285441e+01
'6178'         54800.000000   2.8107971072560902e+00   5.8569910227884114e-01   4.3084603918620985e+00   6.4800476554684167e+01   1.2717095460060763e+02   2.8656846510177792e+02
'6491'         54800.000000   2.5020800040805700e+00   5.8935514234040964e-01   5.7362918278071096e+00   3.0407931667262028e+02   3.2064425089166144e+02   1.4098824933400704e+02
